max_depth,estimators,samples,rmse_train,rmse_test,std_train,std_test,rmse_ratio,train_rmse_std_ratio,test_rmse_std_ratio,train_score,test_score,test_size,1st_feature,2nd_feature,3rd_feature,4th_feature,5th_feature,is_nan_mean
60,160,10000,4369.178268370338,11252.24415016677,23325.613348306586,22682.726786867912,0.3882939447510639,0.18731247076456986,0.49607105247510275,0.9649093595440114,0.7538150369110083,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,10000,4395.809146476508,11651.088436039809,23005.066378372525,22902.79932225133,0.377287424313006,0.19108004620273938,0.5087189680223996,0.9634831992573386,0.7411187178134959,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,20000,3772.479310385305,10641.361213361373,22880.08648377032,23406.63020024474,0.3545109723038582,0.16488046551140714,0.4546302104285865,0.9728129216995027,0.793207975753536,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,20000,3927.0687735287274,10202.476006678688,23376.297791321915,23254.023742793233,0.3849133064324789,0.16799361509616764,0.43874024209855667,0.9717764850801607,0.8074428142347114,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,20000,3725.128538998356,9940.469194095334,22800.938340454613,22586.926049566086,0.3747437335464097,0.1633761068678932,0.4400983636410453,0.9733065793659011,0.8062649965696167,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,20000,4022.751932624452,10772.517262471425,22918.199992780697,23196.967046434434,0.37342729044757683,0.17552652188617043,0.46439335111816915,0.9691883860069442,0.7842956745721513,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,20000,3997.713171116537,10436.865593099488,22957.760304653206,23035.480129396918,0.38303771716287055,0.17413341362860463,0.45307784055173206,0.9696753882143503,0.7946862514428865,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,50000,3471.0565001859773,9319.272097093195,23400.012240420638,23395.16320566314,0.3724600445209284,0.14833567027756314,0.39834182882884656,0.977996039946416,0.8412920458144528,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,50000,3536.224389786569,9592.923344666868,23108.327107019813,23477.6189422639,0.36862844231446024,0.153028143206106,0.40859864742918606,0.9765818363712767,0.833024881969969,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,50000,3504.272164453759,9745.427656711468,22977.67454121182,23254.287875441976,0.3595811582512176,0.1525076942911973,0.41908088989485964,0.9767408217025253,0.8243536430892414,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,50000,3577.001795651819,9753.66745804097,22967.432519125847,23170.865492736022,0.36673403220271994,0.1557423448473448,0.4209453229573452,0.9757436751861224,0.8227908583490042,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,50000,3554.7297297226683,9846.566452849896,23124.55161518178,23441.460649854907,0.3610121098297997,0.15372102295764772,0.4200491854977835,0.9763691719343381,0.8235469182238636,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,100000,3268.2770510061637,8515.98028613053,23028.58295766633,22955.608539815516,0.3837816600314366,0.1419226296734918,0.3709760197103871,0.9798577433837096,0.8623630291027488,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,100000,3305.6389281408015,8826.228727509992,23135.03854488443,23328.732369346682,0.37452450306863627,0.14288452218169037,0.3783415484292415,0.9795837731300057,0.8568481292741156,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,100000,3253.003149808952,8799.613998027446,22983.116944179976,22875.64279635282,0.36967566424369946,0.14153881554489114,0.3846717697231403,0.9799665132755653,0.8520202305895967,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,100000,3315.2411627354627,9035.875274700802,23031.32657158558,23135.942444473563,0.3668976233013838,0.14394486363740647,0.3905557466002075,0.9792795999604079,0.8474601072018426,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,100000,3336.3443352840595,8811.89272058822,23119.644442487806,22813.20109356842,0.3786183560189041,0.1443077701122747,0.3862628784293012,0.9791749699847941,0.8507960152813536,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,200000,3080.3974296465817,8172.394197368341,23104.12756316599,23073.27233429749,0.3769271715550047,0.1333267149441098,0.3541931148283812,0.9822238883260361,0.874540964456392,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,200000,3074.310158483373,8269.684884780007,23084.562441932972,23136.0229105793,0.3717566269231741,0.13317602039096513,0.3574376165143996,0.982264043263668,0.8722340914368862,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,200000,3098.5248673110946,8207.957978581457,22998.815950549826,23008.640631269584,0.3775025256460436,0.13472540821115703,0.356733720610445,0.9818489509382805,0.8727378710262046,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,200000,3129.3757322837446,8382.707388496894,23014.3311906333,23068.77622512132,0.37331324919894093,0.13597508901572522,0.3633789372566862,0.981510651904845,0.8679531070203417,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,160,200000,3148.6924340099167,8461.87562305834,23140.346671697556,23031.362522394917,0.3721033697812611,0.1360693717636051,0.3674066445191985,0.9814849938178136,0.8650101077316055,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,10000,4281.12948164311,11717.21947711605,23095.991934717804,21015.056499425573,0.36537076821034514,0.1853624427019189,0.5575630728109786,0.9656369467185466,0.6888122320696489,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,10000,4225.928745276607,11199.680937448924,23297.973769504148,22972.181959597976,0.3773258156976741,0.18138610623762186,0.48753231004117137,0.9670952093121086,0.762153682454222,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,10000,4282.203891953687,11289.159240295909,23253.065597360346,22573.77279019541,0.37932000079054984,0.18415653084640146,0.5001006852163937,0.96608213241317,0.7497741917419645,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,10000,4195.194278191106,11025.200016306764,22793.64541602453,22591.113199914354,0.38050958458678535,0.18405104587797852,0.488032613476903,0.9661206952705916,0.7617288597267945,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,10000,4363.493542338788,12129.360615606769,23005.688666489415,22742.776981918465,0.35974637745738297,0.18967019877543362,0.5333280375237447,0.9640200757073029,0.7154663598443526,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,20000,3853.2224280909827,10272.590774899953,23019.43505304283,23209.30399293409,0.3750974328215182,0.16738996501052894,0.4426065847570169,0.9719790428939347,0.8040014118356473,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,20000,3878.4252967514517,10601.818671811083,23022.6405447283,23342.907486986784,0.3658264130722875,0.16846135825369213,0.45417729893850584,0.9716191013106924,0.7936541991953215,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,20000,3867.809119290767,10376.11209618262,23300.30070987087,22587.94519088495,0.37276092272689854,0.16599824901196317,0.4593650289345378,0.97244285900365,0.7889310029427069,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,20000,3831.4020466600896,10276.767930962362,23084.3897066906,23010.72026397725,0.3728216957314614,0.16597372056795706,0.44660783378651575,0.972450887473328,0.8005015431091378,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,20000,3897.428164035554,10718.560395308205,23131.08249601659,22942.358614889126,0.363614890460622,0.16849311590612898,0.467195225008473,0.9716080418952363,0.7816922371021326,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,50000,3439.7638070539915,8920.324099634161,22935.740234768324,22596.523390095612,0.38560973442602414,0.1499739608072317,0.3947653338364463,0.977507311242263,0.8441291570324057,0.1,fiModelDesc_code,ModelID,YearMade,MachineID,saledate_year_code,True
60,320,50000,3424.4827576211446,9523.297559254795,22848.39643731994,23031.964322669573,0.35959001977137767,0.14987847252281078,0.4134817780123661,0.977535914907521,0.8290100205878108,0.15,fiModelDesc_code,ModelID,YearMade,MachineID,saledate_year_code,True
60,320,50000,3513.046448035142,9161.22005667375,22872.48979120722,22846.7907578838,0.38346927879720166,0.15359265563583938,0.4009849853206392,0.9764087063523893,0.8391949610435111,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,50000,3517.942421971984,9519.463693880269,23112.68568064418,22785.635808901698,0.3695525856392043,0.15220829247542186,0.4177835445856326,0.9768320178888601,0.8254429453090895,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,50000,3608.7483334194735,9518.515045727874,22885.440555745427,22834.460189328423,0.37912934066739346,0.15768751860507624,0.41684870002647606,0.9751339360172028,0.8262255763246587,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,100000,3213.660939039333,8753.450720090246,23035.32885551513,23102.1905549275,0.3671307512663075,0.13951009595723293,0.37890132969330953,0.9805367168673021,0.8564194242990718,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,100000,3217.455971514977,8507.929769040527,22905.971686100398,23000.990717877616,0.378171430519204,0.14046363173789156,0.3698940568863281,0.9802697360382495,0.8631692646311493,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,100000,3279.527894601712,8759.331700906061,22982.684416550972,22900.291355861267,0.37440389365121074,0.14269559791892547,0.3824987012081894,0.9796377118059579,0.8536874279454456,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,100000,3292.8902197530315,9033.113898058813,23061.092326761915,23337.96237389426,0.3645354477884601,0.14278986325082707,0.3870566655880469,0.9796107830965847,0.8501811448696577,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,100000,3304.752569660171,9036.891501999715,23071.503132279773,22978.68940274875,0.3656957227968139,0.1432395865458991,0.39327271210335896,0.9794821277336989,0.8453314182954784,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,200000,3059.638295918375,8334.161706004907,23017.02600470094,23265.860741490636,0.36712010203903933,0.1329293495733759,0.3582142005665138,0.9823296898536096,0.8716761703210094,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,200000,3059.0189398066623,8167.012216327984,23029.756634108762,23135.9907743592,0.3745578993613952,0.13282897376674968,0.3530003230023412,0.9823563599419541,0.8753866181808487,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,200000,3090.9667822369584,8221.17878441861,23106.045246288748,22897.8467458057,0.37597610553065564,0.13377307753404594,0.35903720012120877,0.9821046518811444,0.871089066155777,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,200000,3109.7714713479318,8358.105744084427,22969.376325896756,23136.30243757374,0.37206653834798853,0.13538771916248457,0.36125503488019434,0.9816700433002689,0.869492189617502,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,320,200000,3124.5605631270096,8412.30662089216,23069.582950642092,23030.66050109093,0.3714273271218016,0.1354407043166788,0.36526553897547487,0.9816556845833776,0.8665788623513284,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,640,10000,4204.254298379988,11487.430014565949,23236.644190884937,21677.65705035239,0.3659873699381876,0.18093207710385284,0.5299202763418204,0.9672599456910733,0.7189034041259348,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
60,640,10000,4173.089258889644,11137.967484263168,22594.5454616692,22750.906388412957,0.3746724224851438,0.18469454346710065,0.4895614835783307,0.9658839119560624,0.7601696669078558,0.15,fiModelDesc_code,ModelID,YearMade,MachineID,saledate_year_code,True
60,640,10000,4255.018332039141,11747.066657071618,23443.09552429758,23835.298920019406,0.3622196465087445,0.18150411611081949,0.49284326982806115,0.9670521373519991,0.7569840033868783,0.2,fiModelDesc_code,ModelID,YearMade,MachineID,saledate_year_code,True
60,640,10000,4376.711663348881,11593.864967920987,22944.536897136244,22795.115644189937,0.3775023838434194,0.19075179782317367,0.5086118074104201,0.9636088994804911,0.7412105135681331,0.25,fiModelDesc_code,ModelID,YearMade,MachineID,saledate_year_code,True
60,640,10000,4411.778809886151,11785.564094396734,23227.725008771773,23067.939375371123,0.3743375178777963,0.18993589807956124,0.51090667018918,0.9639192002207421,0.738887336801805,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,saledate_year_code,True
