max_depth,estimators,samples,rmse_train,rmse_test,std_train,std_test,rmse_ratio,train_rmse_std_ratio,test_rmse_std_ratio,train_score,test_score,test_size,1st_feature,2nd_feature,3rd_feature,4th_feature,5th_feature,is_nan_mean
6,20,20000,14621.119328469693,14814.950661627945,22976.592722280253,23350.61484004604,0.9869165049830174,0.6363484571100783,0.6344565555601762,0.5950317148275391,0.5973977787365066,0.3,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,Hydraulics_Flow_code,True
6,20,50000,15082.733264666997,14899.34188845113,23052.182931234824,22897.520089885566,1.0123086897118603,0.6542865510680324,0.6506967492533202,0.5718995957491824,0.5765090423196257,0.1,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,fiModelDesc_code,True
6,20,50000,14836.089699705859,14691.049784723733,22920.021365944558,22710.68581921792,1.0098726719402273,0.6472982491085234,0.6468782978051714,0.5809951177626345,0.5814926668509307,0.15,Enclosure_code,YearMade,fiModelDesc_code,fiProductClassDesc_code,ModelID,True
6,20,50000,14994.082467875533,15012.965367391733,23137.93017325912,22705.422575230637,0.9987422271980182,0.6480304139392916,0.6612061641948646,0.5800460837617645,0.5627626846991838,0.2,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,Hydraulics_Flow_code,True
6,20,50000,15165.012876359964,15410.956633088768,22983.920143683255,23087.416050408337,0.9840409805449235,0.6598096748316372,0.6675046094132393,0.5646395833874595,0.5544019485679643,0.25,Enclosure_code,YearMade,fiProductClassDesc_code,Hydraulics_Flow_code,ModelID,True
6,20,50000,14994.933961003131,15186.975793395206,23150.12398533325,23051.289777846592,0.9873548338389008,0.6477258597190738,0.6588341016818342,0.580439223200421,0.5659086870402266,0.3,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,20,100000,15115.50658532971,15194.59090648165,22993.26540479207,23246.53634296504,0.9947952319586173,0.6573884274035935,0.6536281656032555,0.5678356536897602,0.5727274938795112,0.1,Enclosure_code,YearMade,fiProductClassDesc_code,ModelID,fiModelDesc_code,True
6,20,100000,15333.968650746121,15403.503789826225,23024.345886022507,23102.265911746177,0.9954857583035082,0.6659893282811992,0.6667529431385528,0.5564529964155149,0.5554108735409804,0.15,Enclosure_code,YearMade,fiProductClassDesc_code,Hydraulics_Flow_code,ModelID,True
6,20,100000,15200.031474179379,15111.439431421004,23064.489717691387,22669.579116559427,1.0058625813351816,0.6590230982877695,0.6665955002394625,0.565683126962276,0.5556282204715244,0.2,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,Hydraulics_Flow_code,True
6,20,100000,15146.98614345867,15202.928954128965,23049.896130438723,22921.178782907915,0.9963202609945038,0.6571390195314675,0.6632699434055997,0.5681625511765706,0.5600553843901082,0.25,Enclosure_code,YearMade,fiModelDesc_code,fiProductClassDesc_code,Hydraulics_Flow_code,True
6,20,100000,15029.411498404883,15116.91492403624,23069.783832686786,22987.511068715674,0.9942115553291747,0.651476043616422,0.6576142531850374,0.5755729013496274,0.5675290783104958,0.3,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
6,20,200000,15078.965648059913,15079.210725964776,22987.269582538487,23042.872210124442,0.9999837472988927,0.6559702792851112,0.6543980537000661,0.5697006021424029,0.5717417744022855,0.1,Enclosure_code,YearMade,fiProductClassDesc_code,fiModelDesc_code,ModelID,True
